bill of lading number,bill of lading type,arrival date,consignee (original format),shipper (original format),shipper (roll),consignee (roll),carrier,notify party,shipment origin,shipment destination,shipment destination region,shipment destination region roll,port of unlading roll up,port of unlading region,port of lading,port of lading country,place of receipt,vessel,vessel voyage id,vessel imo,quantity,measurement, weight (t) ,weight (original format),value of goods (usd),industry - gics,hs code,goods shipped,group,category,cargo,cargo detail,shipper unified,consignee unified,notify unified,report 1,report 2,report 3,report 4,report 5,report 6,filter,count
SFCRHRYSAV335003,Simple,10/4/2024,"Yara North America, INC.
100 North Tampa Street Suite 3200
P.O.BOX 24926
Tampa FL US 33602","Yara Norge AS
Yara Porsgrunn
Porsgrunn  NO 3905",YARA ,YARA,SFCR - Saga Welco As,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,NOHRY,OPTIMANA,33EU,9253856,1 BLK, ,3400,3400 E,388000,15101030,Classified: 3102.60,CALCIUM NITRATE STG IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SFCRHRYSAV335002,Simple,10/4/2024,"Yara North America, INC.
100 North Tampa Street Suite 3200
P.O.BOX 24926
Tampa FL US 33602","Yara Norge AS
Yara Porsgrunn
Porsgrunn  NO 3905",YARA ,YARA,SFCR - Saga Welco As,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,NOHRY,OPTIMANA,33EU,9253856,1 BLK, ,985,985 E,1270000,15101030,Classified: 3105.20,AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARD COMPLEX FERTILIZER 15-15-15S IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFCRHRYSAV335000,Simple,10/4/2024,"Yara North America, INC.
100 North Tampa Street Suite 3200
P.O.BOX 24926
Tampa FL US 33602","Yara Norge AS
Yara Porsgrunn
Porsgrunn  NO 3905",YARA ,YARA,SFCR - Saga Welco As,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,NOHRY,OPTIMANA,33EU,9253856,618 BAG, ,743.08,743083 K,958000,15101030,Classified: 3105.20,AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARD COMPLEX FERTILIZER 27-4-4 IN 1200KG BIG BAGS 618 BIG BAGS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFFVSDRMJA409001,Simple,9/28/2024,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,STADIONGRACHT,2409,9202508,2663 PKG, ,3195.6,3195600 K,4119000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 17-07-14 IN 2663 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWKIL13954A,Simple,9/24/2024,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET  SUITE 3200 TAMPA  FL 3
3602 USA","YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. HAVEN 2111
4541 HJ SLUISKIL THE NETHERLANDS T
AX ID  NL0060 06 802 B01",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",United States,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Sluiskil, Netherlands",Netherlands,NLSLU,STAR KILIMANJARO,2402,9396139,1 UNT, ,5000,5000000 K,6445000,15101030,Classified: 3105.20,FERTILIZER DESCRIPTION: 1 FERTILIZERS WITHOUT NITRATES AMIDAS IN BULK MARKS: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWKIL13955A,Simple,9/24/2024,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET SUITE 3200  P.O.BOX 249
26 TAMPA  FLORIDA 33602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3905
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,STAR KILIMANJARO,2402,9396139,1 UNT, ,3300,3300000 K,376000,15101030,Classified: 3102.60,CALCIUM NITRATE Description: 1 CALCIUM NITRATE STG IN BULK CLEAN ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWKIL13956A,Simple,9/24/2024,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET SUITE 3200  P.OBOX 2492
6 TAMPA  FLORIDA 33602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3905
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,STAR KILIMANJARO,2402,9396139,1 UNT, ,3190,3190000 K,4112000,15101030,Classified: 3105.20,NPK Description: 1 AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER 15-15-15S IN BULK CLEAN ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWKIL13953A,Simple,9/24/2024,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD A RNES
VEIEN 3 GLOMFJORD NORWAY  47 75 71
91 00",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,STAR KILIMANJARO,2402,9396139,1583 BAG, ,1903.4,1903398 K,221000,15101030,Parsed: 3102.60,CALCIUM NITRATE IN BIG BAGS Description: 1583 BAGS CALCIUM NITRATE SOLUTION QUALITY IN 1 200 KG BAGS PRODUCT CODE PA34IP1200 LOADED BREAKBULK SHIPPED ON BOARD Marks: SEKKER HS 310260,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWKIL13952A,Simple,9/24/2024,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD A RNES
VEIEN 3 GLOMFJORD NORWAY  47 75 71
91 00",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,STAR KILIMANJARO,2402,9396139,1083 BAG, ,1302.2,1302200 K,151000,15101030,Parsed: 3102.60,CALCIUM NITRATE IN BIG BAGS Description: 1083 BAGS CALCIUM NITRATE SOLUTION QUALITY IN 1 200 KG BAGS PRODUCT CODE PA34IP1200 LOADED BREAKBULK SHIPPED ON BOARD Marks: SEKKER HS 310260,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SFCRHRYPCA335000,Simple,9/23/2024,"Yara North America, INC.
100 North Tampa Street Suite 3200
P.O.BOX 24926
Tampa FL US 33602","Yara Norge AS
Yara Porsgrunn
Porsgrunn  NO 3905",YARA ,YARA,SFCR - Saga Welco As,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"All Other Norway Ports, Norway",Norway,NOHRY,OPTIMANA,33EU,9253856,1 BLK, ,3000,3000 E,342000,15101030,Classified: 3102.60,CALCIUM NITRATE STG IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWKVA15971A,Simple,9/16/2024,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET  SUITE 3200 TAMPA  FL 3
3602 USA","YARA SLUISKIL B.V INDUSTRUEWEG 10
YARA SLUISKIL B.V INDUSTRUEWEG 10 H
AVEN 2111  4541 HJ SLUISKIL THE NET
HERLANDS TAX ID  NL0060 06 8",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Netherlands,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Sluiskil, Netherlands",Netherlands,NLSLU,STAR KVARVEN,2404,9396153,1 DBK, ,5500,5500000 K,7090000,15101030,Classified: 3105.20,FERTILIZER Description: 1 AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) CAN 27 Marks: GSSW,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWKVA15975A,Simple,9/16/2024,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD A RNES
VEIEN 3 GLOMFJORD NORWAY  47 75 71
91 00",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,STAR KVARVEN,2404,9396153,2376 BAG, ,2856.9,2856902 K,331000,15101030,Classified: 3102.60,CALCIUM NITRATE IN BIG BAGS Description: 2376 BAGS CALCIUM NITRATE SOLUTION QUALITY IN 1 200 KG BAGS PRODUCT CODE PA34IP1200 LOADED BREAKBULK SHIPPED ON BOARD Marks: SEKKER,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SFFVSMRMJA409001,Simple,9/13/2024,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,SAMPOGRACHT,2409,9288071,2639 PKG, ,3166.8,3166800 K,4082000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 21-07-14G IN 2750 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
ULTH241631000011,Simple,9/5/2024,"YARA NORTH AMERICA, INC.
100 N. TAMPA ST. STE 3200
P.O. BOX 24926
TAMPAFL 33602
TEUSA","YARA NORGE AS
YARA PORSGRUNN B/O YARA SWITZERLAND
3905 PORSGRUNN PO BOX 1123
PORSGRUNN N-3905
TENO",YARA ,YARA,ULTH - Ultrabulk,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Switzerland,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,ALL OTHER NORWAY,ARMIA KRAJOWA,349WM,9708033,1250 BAG, CM,15030,1503000000 K,19374000,15101030,Classified: 3105.20,"1, 503, 000. 000 MT AMMONIUM NITRATE BASED FERTILIZER NON HAZARDOUS",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
ULTH241631000012,Simple,9/5/2024,"YARA NORTH AMERICA, INC.
100 N. TAMPA ST. STE 3200
P.O. BOX 24926
TAMPAFL 33602
TEUSA","YARA NORGE AS
YARA PORSGRUNN B/O YARA SWITZERLAND
3905 PORSGRUNN PO BOX 1123
PORSGRUNN N-3905
TENO",YARA ,YARA,ULTH - Ultrabulk,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Switzerland,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,ALL OTHER NORWAY,ARMIA KRAJOWA,349WM,9708033,1 BLK, CM,5052,5052000 K,6512000,15101030,Classified: 3105.20,"5, 052. 000 MT AMMONIUM NITRATE BASED FERTILIZER NON HAZARDOUS COMPLEX FERTILIZER",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFFVSMAAJA406004,Simple,6/3/2024,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,SAMPOGRACHT,2406,9288071,2730 PKG, ,3276,3276000 K,1559000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 17-07-14 IN 2750 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
ONEGELBUUS042401,Simple,5/21/2024,"YARA NORTH AMERICA
100 N. TAMPA STREET
STE 3200   PO BOX 24926
TAMPA, FL 33602
TE813-734-5624 LEIGH.RAYNER@YARA.COM","YARA SUOMI OY
UUSIKAUPUNKI PLANT
P.O.BOX 5
FI-23501 UUSIKAUPUNKI
TEFINLAND",YARA ,YARA,ONEG - Onego Shipping And Chartering B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"All Other Finland Ports, Finland",Finland,"UUSIKAUPUNKI, FIN",ONEGO ELBE,2404,9438573,1 BLK, ,3270,3270000 KG,1557000,15101030,Classified: 3105.20,AMMONIUM NITRATE BASED FERTILIZER COMPLEX FERTILIZER 21-7-14G (PKE16G000),Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWLWN11954A,Simple,5/15/2024,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA","YARA PORSGRUNN
Heroya Industripark
Porsgrunn
N 3908
Norway",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,LAWIN ARROW,2402,9687162,1 UNT, ,4167,4167000 K,3304000,15101030,Classified: 3105.20,NPK Description: 1 BULK AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER 21-7-14 PRODUCT CODE PH981G000 LOADED BULK SHIPPED ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWLWN11950A,Simple,5/15/2024,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA","YARA PORSGRUNN
Heroya Industripark
Porsgrunn
N 3908
Norway",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,LAWIN ARROW,2402,9687162,1 UNT, ,3300,3300000 K,14174000,15101010,Classified: 3811.21,CALCIUM NITRATE Description: 1 BULK CALCIUM NITRATE STG PRODUCT CODE PA34HU000 LOADED BULK SHIPPED ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWLWN11952A,Simple,5/15/2024,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA","YARA PORSGRUNN
Heroya Industripark
Porsgrunn
N 3908
Norway",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,LAWIN ARROW,2402,9687162,1 UNT, ,2335,2335000 K,1852000,15101030,Classified: 3105.20,NPK Description: 1 BULK AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER 15-15-15 PRODUCT CODE PG765G000 LOADED BULK SHIPPED ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWLWN11948A,Simple,5/15/2024,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD A RNES
VEIEN 3 GLOMFJORD NORWAY  47 75 71
91 00",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,LAWIN ARROW,2402,9687162,1667 BAG, ,2004.4,2004401 K,200000,15101030,Parsed: 3102.60,CALCIUM NITRATE IN BIG BAGS Description: 1667 BAGS CALCIUM NITRATE SOLUTION QUALITY IN 1 200 KG BAGS PRODUCT CODE PA34IP1200 LOADED BREAKBULK SHIPPED ON BOARD Marks: SEKKER HS 310260,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
WOMAPRNAN240301,Simple,4/27/2024,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200
TAMPA, FL 33602","YARA ROSTOCK ZWEIGINIEEDELASSUNG
DER YARA GMBH &AMP; CO KG
WERKSTRASSE 1 D-18184
POPPERDORF GER",YARA ,YARA,WOMA - Womar Logistics Pte Ltd,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Germany,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Rostock, Germany",Germany,ROSTOCK GERMANY,PRABHU NAND,02403,9425980,1 BLK, ,17658.13,17658128 KG,9059000,15105010,Classified: 4407.11,13300. 789 CUBIC METERS OF UREA AMMONIUM NITRA,Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
ULTHPORSAV240103,Simple,4/9/2024,"YARA NORTH AMERICA, INC.
100 N. TAMPA ST. STE 3200
P.O. BOX 24926
TAMPAFL 33602
TE813-734-5624","YARA PORSGRUNN
HEROYA INDUSTRI PARK
HYDROVEGEN 55 P.O. BOX 1007
PORSGRUNN N-3905",YARA ,YARA,ULTH - Ultrabulk,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",United Arab Emirates,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,"HEROYA,NO",AEGEAN SPIRE,2404,9370381,1 BLK, CM,5161,5161000 K,7840000,15101030,Classified: 3105.20,AMMONIUM NITRATE BASED FERTILIZER 21-7-14S,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
ULTHPORSAV240102,Simple,4/9/2024,"YARA NORTH AMERICA, INC.
100 N. TAMPA ST. STE 3200
P.O. BOX 24926
TAMPAFL 33602
TE813-734-5624","YARA PORSGRUNN
HEROYA INDUSTRI PARK
HYDROVEGEN 55 P.O. BOX 1007
PORSGRUNN N-3905",YARA ,YARA,ULTH - Ultrabulk,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",United Arab Emirates,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,"HEROYA,NO",AEGEAN SPIRE,2404,9370381,1 BLK, CM,3100,3100000 K,4709000,15101030,Classified: 3105.20,AMMONIUM NITRATE BASED FERTILIZER 15-15-15S,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
ULTHPORSAV240104,Simple,4/9/2024,"YARA NORTH AMERICA, INC.
100 N. TAMPA ST. STE 3200
P.O. BOX 24926
TAMPAFL 33602
TE813-734-5624","YARA PORSGRUNN
HEROYA INDUSTRI PARK
HYDROVEGEN 55 P.O. BOX 1007
PORSGRUNN N-3905",YARA ,YARA,ULTH - Ultrabulk,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",United Arab Emirates,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,"HEROYA,NO",AEGEAN SPIRE,2404,9370381,1 BLK, CM,2502,2502000 K,263000,15101030,Classified: 3102.60,CALCIUM NITRATE STG,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SXBWA00192401002,Simple,2/21/2024,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET SUITE 3200
TAMPA, FL 33602, USA","YARA NORGE AS
YARA PORSGRUNN N-3905 PORSGRUNN
NORWAY",YARA ,YARA,SXBW - Swire Bulk Pte Ltd,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Heroen, Norway",Norway,"HEROYA, NORWAY",LINTAN,2401,,1 BLK, ,5000,5000000 KG,525000,15101030,Classified: 3102.60,CALCIUM NITRATE STG IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SXBWA00192401004,Simple,2/19/2024,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET SUITE 3200
TAMPA, FL 33602, USA","YARA NORGE AS
YARA PORSGRUNN N-3905 PORSGRUNN
NORWAY",YARA ,YARA,SXBW - Swire Bulk Pte Ltd,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"Heroen, Norway",Norway,"HEROYA, NORWAY",LINTAN,2401,,1 BLK, ,2000,2000000 KG,210000,15101030,Classified: 3102.60,CALCIUM NITRATE STG IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
MURGS006215005,Simple,2/7/2024,"YARA NORTH AMERICA, INC
100 NORTH TAMPA ST, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YAR NORGE ASA
YARA PORSGRUNN
N-3905 PORSGRUNN, NORWAY",YARA ,YARA,MURG - Mur Shipping Bv (Div Of Mur Shipping Holdings Bv),"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"All Other Norway Ports, Norway",Norway,HEROYA,AFRICAN TOUCAN,6215,9801263,1 BLK, ,4501,4501000 KG,473000,15101030,Classified: 3102.60,CALCIUM NITRATE STG IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
MURGS006215007,Simple,2/4/2024,"YARA NORTH AMERICA, INC
100 NORTH TAMPA ST, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YARA SLUISKIL B.V.
INDUSTRIEWEG 10
HAVEN 2111,4541 HJ
SLUISKIL, THE NETHERLANDS",YARA ,YARA,MURG - Mur Shipping Bv (Div Of Mur Shipping Holdings Bv),"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Netherlands,"Port of Brunswick, Brunswick, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"Sluiskil, Netherlands",Netherlands,SLUISKIL,AFRICAN TOUCAN,6215,9801263,1 BLK, ,5000,5000000 KG,7595000,15101030,Classified: 3105.20,AMMONIUM NITRATE BASED FERTILIZER (NON HAZARDOUS),Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
